distance_m,sample_index,timestamp_ms,rssi_raw_dbm,rssi_filt_dbm,dist_est_m
1.5,37,1782408,-90,-86.8,21.8
1.5,38,1783408,-82,-86.0,20.0
1.5,39,1784408,-92,-86.9,22.2
3.0,1,1858428,-75,-77.1,7.2
3.0,2,1859428,-78,-77.3,7.3
3.0,3,1860428,-78,-77.4,7.4
3.0,4,1861428,-75,-77.0,7.1
3.0,5,1862428,-82,-77.8,7.7
3.0,6,1863428,-76,-77.5,7.5
3.0,7,1864428,-77,-77.4,7.4
3.0,8,1865428,-78,-77.5,7.5
3.0,9,1866428,-87,-78.9,8.8
3.0,10,1867428,-77,-78.6,8.6
3.0,11,1868428,-77,-78.4,8.3
3.0,12,1869428,-79,-78.5,8.4
3.0,13,1870428,-75,-78.0,7.9
3.0,14,1871428,-84,-78.9,8.8
3.0,15,1872428,-77,-78.6,8.5
3.0,16,1873428,-76,-78.2,8.1
3.0,17,1874428,-78,-78.2,8.1
3.0,18,1875428,-79,-78.3,8.2
3.0,19,1876428,-77,-78.1,8.0
3.0,20,1877428,-77,-77.9,7.9
3.0,21,1878428,-77,-77.8,7.8
3.0,22,1879428,-77,-77.7,7.7
3.0,23,1880428,-89,-79.4,9.3
3.0,24,1881428,-76,-78.9,8.8
3.0,25,1882428,-78,-78.7,8.6
3.0,26,1883428,-83,-79.4,9.3
3.0,27,1884448,-75,-78.7,8.6
3.0,28,1885468,-83,-79.4,9.3
3.0,29,1886468,-75,-78.7,8.6
3.0,30,1887468,-75,-78.2,8.1
3.0,31,1888468,-79,-78.3,8.2
3.0,32,1889468,-82,-78.8,8.7
3.0,33,1890468,-82,-79.3,9.2
3.0,34,1891468,-79,-79.3,9.2
3.0,35,1892468,-82,-79.7,9.6
3.0,36,1893468,-81,-79.9,9.9
3.0,37,1894468,-86,-80.8,11.0
3.0,38,1895468,-81,-80.8,11.0
3.0,39,1896468,-82,-81.0,11.2
3.0,40,1897468,-86,-81.8,12.2
3.0,41,1898468,-79,-81.3,11.7
3.0,42,1899468,-87,-82.2,12.9
3.0,43,1900468,-78,-81.6,12.0
3.0,44,1901468,-79,-81.2,11.4
3.0,45,1902468,-83,-81.4,11.8
3.0,46,1903468,-84,-81.8,12.3
3.0,47,1904468,-83,-82.0,12.6
3.0,48,1905468,-83,-82.2,12.8
3.0,49,1906468,-82,-82.1,12.8
4.5,1,1977468,-83,-85.4,18.6
4.5,2,1978468,-82,-84.9,17.5
4.5,3,1979488,-82,-84.4,16.7
4.5,4,1980488,-86,-84.7,17.1
4.5,5,1981488,-97,-86.5,21.2
4.5,6,1982488,-83,-86.0,19.9
4.5,7,1983488,-90,-86.6,21.4
4.5,8,1984488,-84,-86.2,20.4
4.5,9,1985488,-82,-85.6,19.0
4.5,10,1986488,-84,-85.3,18.5
4.5,11,1987488,-86,-85.4,18.7
4.5,12,1988488,-86,-85.5,18.9
4.5,13,1989488,-84,-85.3,18.4
4.5,14,1990488,-83,-85.0,17.7
4.5,15,1991488,-81,-84.4,16.5
4.5,16,1992488,-83,-84.2,16.1
4.5,17,1993488,-86,-84.4,16.7
4.5,18,1994488,-86,-84.7,17.1
4.5,19,1995488,-88,-85.2,18.1
4.5,20,1996488,-91,-86.0,20.0
4.5,21,1997488,-89,-86.5,21.1
4.5,22,1998488,-89,-86.9,22.0
4.5,23,1999488,-83,-86.3,20.6
4.5,24,2000488,-82,-85.6,19.1
4.5,25,2001488,-84,-85.4,18.6
4.5,26,2002488,-85,-85.3,18.5
4.5,27,2003488,-85,-85.3,18.4
4.5,28,2004488,-87,-85.5,18.9
4.5,29,2005488,-82,-85.0,17.8
4.5,30,2006488,-84,-84.9,17.5
4.5,31,2007488,-83,-84.6,16.9
4.5,32,2008488,-83,-84.3,16.5
4.5,33,2009488,-86,-84.6,17.0
4.5,34,2010488,-93,-85.9,19.6
4.5,35,2011488,-93,-86.9,22.2
4.5,36,2012488,-93,-87.8,24.7
4.5,37,2013488,-84,-87.3,23.1
4.5,38,2014488,-82,-86.5,21.1
4.5,39,2015488,-85,-86.3,20.5
4.5,40,2016488,-85,-86.1,20.1
4.5,41,2017488,-84,-85.8,19.4
4.5,42,2018488,-91,-86.5,21.2
4.5,43,2019488,-87,-86.6,21.4
4.5,44,2020488,-87,-86.7,21.5
4.5,45,2021488,-88,-86.9,22.0
4.5,46,2022488,-88,-87.0,22.5
4.5,47,2023488,-84,-86.6,21.3
4.5,48,2024488,-89,-86.9,22.2
4.5,49,2025488,-95,-88.2,25.6
6.0,1,2160508,-87,-87.4,23.6
6.0,2,2161508,-87,-87.4,23.4
6.0,3,2162508,-87,-87.3,23.2
6.0,4,2163508,-89,-87.6,23.9
6.0,5,2164508,-93,-88.4,26.3
6.0,6,2165508,-95,-89.4,29.4
6.0,7,2166508,-84,-88.6,26.8
6.0,8,2167508,-94,-89.4,29.5
6.0,9,2168508,-94,-90.1,31.9
6.0,10,2169508,-87,-89.6,30.3
6.0,11,2170508,-93,-90.1,32.1
6.0,12,2171508,-83,-89.1,28.4
6.0,13,2172508,-86,-88.6,26.9
6.0,14,2173528,-95,-89.6,30.1
6.0,15,2174528,-85,-88.9,27.8
6.0,16,2175528,-83,-88.0,25.1
6.0,17,2176528,-88,-88.0,25.1
6.0,18,2177528,-84,-87.4,23.4
6.0,19,2178528,-84,-86.9,22.1
6.0,20,2179528,-86,-86.8,21.8
6.0,21,2180528,-82,-86.0,20.0
6.0,22,2181528,-87,-86.2,20.4
6.0,23,2182528,-86,-86.2,20.3
6.0,24,2183528,-87,-86.3,20.6
6.0,25,2184528,-89,-86.7,21.6
6.0,26,2185528,-86,-86.6,21.3
6.0,27,2186528,-87,-86.6,21.5
6.0,28,2187528,-100,-88.7,27.1
6.0,29,2188528,-90,-88.9,27.7
6.0,30,2189528,-86,-88.4,26.4
6.0,31,2190528,-91,-88.8,27.6
6.0,32,2191528,-89,-88.8,27.7
6.0,33,2192528,-92,-89.3,29.2
6.0,34,2193528,-88,-89.1,28.6
6.0,35,2194528,-80,-87.7,24.4
6.0,36,2195528,-89,-87.9,24.9
6.0,37,2196528,-89,-88.1,25.4
6.0,38,2197528,-87,-87.9,24.9
6.0,39,2198528,-83,-87.2,22.9
6.0,40,2199528,-88,-87.3,23.2
6.0,41,2200528,-85,-87.0,22.3
6.0,42,2201528,-85,-86.7,21.6
